id	theme	file	title	tags	cpts	params
transistors	04_transistores	sch/04_transistores/transistors.sch	Tipos de transistor	cpt:j, cpt:m, cpt:o, cpt:q, etiqueta, kind, kind:nfet, kind:nfetd, kind:nigfetd, kind:nigfete, kind:nigfetebulk, kind:nmos, kind:nmosd, kind:pfet, kind:pfetd, kind:pigfetd, kind:pigfete, kind:pigfetebulk, kind:pmos, kind:pmosd, transistor, visibilidad-nodos	j,m,o,q	arrowmos,bodydiode,bulk,bulksource,down,draw_nodes,kind,l,label_nodes,up
transistors1	04_transistores	sch/04_transistores/transistors1.sch	Transistors1	cpt:q, transistor	q	right
transistors2	04_transistores	sch/04_transistores/transistors2.sch	Transistors2	cpt:o, cpt:q, espejo, transistor	o,q	invert,mirror,right
transistors3	04_transistores	sch/04_transistores/transistors3.sch	Transistors3	cpt:m, kind, kind:nfet, transistor	m	bodydiode,kind,right
diffamp1	05_opamps	sch/05_opamps/diffamp1.sch	Diffamp1	cpt:u, curricular:tcii, grilla, opamp, pines	u	help_lines,pinnames,right
eopamp-mirror	05_opamps	sch/05_opamps/Eopamp_mirror.sch	Eopamp mirror	cpt:e, cpt:o, curricular:tcii, espejo, grilla, opamp	e,o	help_lines,mirror,mirrorinputs,right
eopamp-uopamp	05_opamps	sch/05_opamps/Eopamp_Uopamp.sch	Eopamp Uopamp	cpt:e, cpt:o, cpt:u, curricular:tcii, grilla, opamp, pines	e,o,u	help_lines,pinnames,pinnodes,right
fdopamp-amplifier1	05_opamps	sch/05_opamps/fdopamp-amplifier1.sch	Fdopamp amplifier1	cpt:e, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, espejo, etiqueta, opamp, tierra, visibilidad-nodos	e,p,r,v,w	0V,down,draw_nodes,l,mirror,right
fdopamp-test1	05_opamps	sch/05_opamps/fdopamp-test1.sch	Fdopamp test1	cpt:e, curricular:tcii, grilla, opamp, visibilidad-nodos	e	draw_nodes,help_lines,right
fdopamp1	05_opamps	sch/05_opamps/fdopamp1.sch	Fdopamp1	cpt:e, curricular:tcii, etiqueta, opamp, visibilidad-nodos	e	draw_nodes,l,right
